m,dm,brct,nEvents,matchEff,filterEff,qcut,wgt,ave_filter_eff,ave_match_eff
475.0,25.0,0.3,150.0,0.275,0.2444,-1.0,10.0815,36.660000000000004,41.25
475.0,25.0,1.0,150.0,0.275,0.2319,-1.0,9.565875,34.785,41.25
500.0,25.0,0.3,150.0,0.254,0.2585,-1.0,9.84885,38.775,38.1
500.0,25.0,1.0,150.0,0.254,0.2544,-1.0,9.69264,38.160000000000004,38.1
525.0,25.0,0.3,150.0,0.254,0.2465,-1.0,9.39165,36.975,38.1
525.0,25.0,1.0,150.0,0.254,0.2616,-1.0,9.96696,39.24,38.1
550.0,25.0,0.3,150.0,0.254,0.2724,-1.0,10.37844,40.86,38.1
550.0,25.0,1.0,150.0,0.254,0.2679,-1.0,10.206990000000001,40.185,38.1
575.0,25.0,0.3,150.0,0.254,0.2745,-1.0,10.458450000000001,41.175000000000004,38.1
575.0,25.0,1.0,150.0,0.254,0.2676,-1.0,10.19556,40.14,38.1
600.0,25.0,0.3,150.0,0.237,0.2744,-1.0,9.754919999999998,41.16,35.55
600.0,25.0,1.0,150.0,0.237,0.2792,-1.0,9.925559999999999,41.88,35.55
625.0,25.0,0.3,150.0,0.237,0.2829,-1.0,10.057094999999999,42.434999999999995,35.55
625.0,25.0,1.0,150.0,0.237,0.2777,-1.0,9.872235,41.655,35.55
650.0,25.0,0.3,150.0,0.237,0.2927,-1.0,10.405485,43.905,35.55
650.0,25.0,1.0,150.0,0.237,0.2856,-1.0,10.15308,42.84,35.55
675.0,25.0,0.3,150.0,0.237,0.3041,-1.0,10.810754999999999,45.614999999999995,35.55
675.0,25.0,1.0,150.0,0.237,0.2965,-1.0,10.540574999999999,44.474999999999994,35.55
700.0,25.0,0.3,150.0,0.237,0.2887,-1.0,10.263285,43.305,35.55
700.0,25.0,1.0,150.0,0.237,0.2961,-1.0,10.526354999999999,44.415,35.55
725.0,25.0,0.3,150.0,0.237,0.313,-1.0,11.127149999999999,46.95,35.55
725.0,25.0,1.0,150.0,0.237,0.2884,-1.0,10.252619999999999,43.26,35.55
750.0,25.0,0.3,150.0,0.237,0.3177,-1.0,11.294234999999999,47.654999999999994,35.55
750.0,25.0,1.0,150.0,0.237,0.3121,-1.0,11.095154999999998,46.815,35.55
775.0,25.0,0.3,150.0,0.237,0.3185,-1.0,11.322674999999998,47.775,35.55
775.0,25.0,1.0,150.0,0.237,0.3063,-1.0,10.888964999999999,45.945,35.55
800.0,25.0,0.3,150.0,0.237,0.3196,-1.0,11.36178,47.94,35.55
